# area,perimeter,comp,mean_x,mean_y,var_x,var_y,assym_x,assym_y,conj_x,conj_y,conj_xy,conj_xy2,target
3.220266666666666833e-01,8.199999999999999512e-01,2.968520312092860769e-02,3.607141437562106367e-01,5.545655294247543443e-01,7.578014319511812424e-02,6.865141312704205190e-02,4.196774823168119006e-01,-3.337407511192188592e-01,9.481616429281218839e-01,9.738323948327261004e-01,9.443524345809870546e-01,9.430274925472010850e-01,1.000000000000000000e+01
2.728598387373477596e-01,8.490259740259740173e-01,2.325895974467058480e-02,3.711988626499692634e-01,4.939439271247746399e-01,8.053925443560339126e-02,6.450983974374527308e-02,2.099420372735548157e-01,8.791062830001536432e-02,9.490726186733731140e-01,9.682489783087079305e-01,9.437283872995912981e-01,9.440427538509902350e-01,1.000000000000000000e+01
4.953761603635659094e-01,8.140556368960468747e-01,4.548645256456704949e-02,3.983194826721477289e-01,5.060557566881218605e-01,7.761622380638889818e-02,6.651647123661609540e-02,3.027567062720342150e-01,-3.976728553752474984e-03,9.874479963019592299e-01,9.926750346691319837e-01,9.862034633573942832e-01,9.866479394090246213e-01,1.000000000000000000e+01
2.786627585913937222e-01,8.354838709677419040e-01,2.444805533608622461e-02,3.744418210159544680e-01,5.140493661292544481e-01,6.934244821596638464e-02,7.034401348604886473e-02,6.071567479671060585e-01,-1.196396853086807016e-01,9.498475609756097393e-01,9.685975609756097837e-01,9.454268292682926900e-01,9.403963414634146645e-01,1.000000000000000000e+01
3.957130730050933964e-01,1.193811074918566861e+00,1.735192791961123401e-02,4.830886545442228397e-01,5.183787580489459534e-01,6.380406785637275646e-02,8.063435187333507781e-02,1.268328389929790634e-01,-1.212790383588758653e-01,9.557009546283384838e-01,9.650327147913762005e-01,9.381100504129572526e-01,9.531266759626729757e-01,1.000000000000000000e+01
3.553979511426320070e-01,8.020833333333333703e-01,3.346938775510203967e-02,3.723915225628590120e-01,5.030643272847358238e-01,7.184974396754209569e-02,7.359708535935549634e-02,3.551524791144872739e-01,-1.188260320585187158e-01,9.479943559766176309e-01,9.717798830880870486e-01,9.441644829671437256e-01,9.395283209030437233e-01,1.000000000000000000e+01
4.035400428077813850e-01,7.364864864864865135e-01,4.649524450803804720e-02,3.596735671047947558e-01,5.229233172916744055e-01,6.857766996836894835e-02,6.809674966358200687e-02,6.458418665943356229e-01,-1.656868891960482648e-01,9.888669647544396923e-01,9.913289042558969255e-01,9.870205101283466842e-01,9.853912854582647096e-01,1.000000000000000000e+01
3.186687941645771627e-01,8.025830258302583120e-01,2.955212049147839734e-02,3.896069819368123133e-01,5.323949282947765260e-01,7.284748378472140351e-02,6.615476781883181112e-02,4.556636362920585825e-01,-9.640435984529983904e-02,9.495708154506438126e-01,9.703147353361946115e-01,9.477825464949928280e-01,9.397353361945636196e-01,1.000000000000000000e+01
2.714387153157089561e-01,1.009138381201044377e+00,1.663350230700099894e-02,4.427332817141081955e-01,5.323033317305918555e-01,6.224562781761675684e-02,7.619837488177452767e-02,2.326302734746027723e-01,-1.224668110947528948e-01,9.532146091156051826e-01,9.670993057651675606e-01,9.412415735989536625e-01,9.505986517758325816e-01,1.000000000000000000e+01
2.925966850828729537e-01,8.300653594771242316e-01,2.565255130510260898e-02,3.423927492447130239e-01,4.837425514513194469e-01,7.561123185074981878e-02,6.856473007387837992e-02,6.074409445856205902e-01,2.218299467213262835e-02,9.521148036253775926e-01,9.687311178247733912e-01,9.487915407854985439e-01,9.394259818731117706e-01,1.000000000000000000e+01
3.791486291486291238e-01,8.237704918032786594e-01,3.251775946139946749e-02,3.742509779046411245e-01,5.449899291954477532e-01,7.617367484942136335e-02,7.061407352096649159e-02,5.427107274954948712e-01,-1.540972051724885938e-01,9.509039010466222575e-01,9.689819219790675175e-01,9.440532825880114665e-01,9.442435775451950564e-01,1.000000000000000000e+01
3.616306954436450671e-01,8.237704918032786594e-01,3.266008267122100933e-02,3.918439524350854075e-01,5.155552708269155460e-01,7.925700468595850423e-02,6.753268022748526445e-02,4.690934541075886255e-01,-1.473287915332934517e-01,9.573702159909056597e-01,9.638120500189465423e-01,9.380447139067829010e-01,9.496021220159150955e-01,1.000000000000000000e+01
2.761341222879684643e-01,8.569230769230768985e-01,2.256252236107126816e-02,4.041681318681318302e-01,5.128864468864469117e-01,1.008336410469749950e-01,6.458465612043634563e-02,2.927368118728841950e-01,7.216503871089889610e-02,9.475714285714286200e-01,9.708571428571428630e-01,9.404285714285713915e-01,9.422857142857142820e-01,1.000000000000000000e+01
2.244353352224270348e-01,8.588082901554404680e-01,1.855908856175025878e-02,3.706700637862341274e-01,5.237654969069399646e-01,6.721521962322143939e-02,7.364689039032336348e-02,5.233676999410212805e-01,-1.043254470075728468e-01,9.481490561412110329e-01,9.697229713164990939e-01,9.460652120617798477e-01,9.398136798234861811e-01,1.000000000000000000e+01
3.194980694980695257e-01,8.225806451612903691e-01,2.827972147464650338e-02,3.938228258469950172e-01,5.391010885723876989e-01,7.500927611567728692e-02,6.573201533488252923e-02,5.480377728990892816e-01,-1.009068040518322079e-01,9.519973145350788535e-01,9.686136287344746520e-01,9.434373950990264657e-01,9.447801275595837378e-01,1.000000000000000000e+01
3.376836967478381024e-01,7.062937062937062471e-01,3.899740221546907359e-02,3.364165376490058645e-01,5.757021621830451519e-01,6.286743461906096897e-02,6.075954890686165177e-02,7.046574783141407172e-01,-3.892170412174616456e-01,9.560094265514532674e-01,9.769049489395129626e-01,9.462686567164179108e-01,9.527101335428123097e-01,1.000000000000000000e+01
5.057593478646110752e-01,8.012519561815336644e-01,4.899215698242187500e-02,4.311808552445475229e-01,4.954854579803865677e-01,7.823971131449254657e-02,6.923121433640389011e-02,2.096885367639285402e-01,8.057445509849806356e-03,9.887682005761894155e-01,9.911625009732928371e-01,9.866269563186171876e-01,9.864128318928598871e-01,1.000000000000000000e+01
2.606349865117243980e-01,8.161559888579387190e-01,2.194550897506086437e-02,3.780998746998016080e-01,4.957733120123267723e-01,7.991881888699788050e-02,5.818834412323812405e-02,5.829167168434578050e-01,-4.639167931247727139e-02,9.499734607218683902e-01,9.701433121019108485e-01,9.416135881104034100e-01,9.455944798301486598e-01,1.000000000000000000e+01
3.173684210526315774e-01,8.303249097472924500e-01,2.849716446124763575e-02,3.808451077943615370e-01,4.880880684297809191e-01,7.772956240973132036e-02,6.537895501091096906e-02,4.194739499390460202e-01,-8.255489584125656755e-02,9.489220563847429180e-01,9.729684908789386633e-01,9.469320066334991903e-01,9.431177446102819717e-01,1.000000000000000000e+01
3.853030573931700564e-01,7.300469483568075013e-01,4.456116045119467434e-02,3.556227476921557940e-01,5.206438027647254385e-01,6.669408446649865985e-02,5.622564385180177371e-02,6.067861238385348077e-01,-9.292943721275898072e-02,9.580046403712296765e-01,9.670533642691415688e-01,9.431554524361949188e-01,9.447795823665893211e-01,1.000000000000000000e+01
3.768493729744962772e-01,8.102040816326530059e-01,3.393841722236674158e-02,3.600136036562809339e-01,5.204426401419340875e-01,7.423649639189534855e-02,6.995763030044382935e-02,5.754015359574105037e-01,-9.884188500441405678e-02,9.525144886894746366e-01,9.712095718825948243e-01,9.399887829500841452e-01,9.495232753785753932e-01,1.000000000000000000e+01
3.610692771084337283e-01,8.225190839694656031e-01,3.097528544742976161e-02,3.501332406441895473e-01,4.996880116922329806e-01,8.094299924235420773e-02,7.722774313053305806e-02,5.315471974772263408e-01,-1.995404035497410147e-02,9.501216545012165504e-01,9.721932568647897455e-01,9.478623566214806617e-01,9.452554744525547559e-01,1.000000000000000000e+01
3.220076808192873785e-01,7.882562277580070775e-01,3.076194018823025927e-02,3.454325239007769999e-01,5.301599439117689050e-01,5.842468630440102867e-02,7.313548456257061570e-02,6.702106968004368781e-01,-1.938032234561483103e-01,9.504720887858207901e-01,9.751532217989067330e-01,9.463309590856385789e-01,9.433493457015074135e-01,1.000000000000000000e+01
2.879098360655737432e-01,8.408360128617363705e-01,2.465552098680578660e-02,3.557977461447212608e-01,4.822704172581659399e-01,7.459526053262031942e-02,7.225952664493090483e-02,6.391487714724621849e-01,1.154075015717706196e-02,9.532918149466191871e-01,9.670818505338077964e-01,9.387603795966785736e-01,9.489916963226572300e-01,1.000000000000000000e+01
3.595105581928302318e-01,1.054313099041533475e+00,2.016758494031221233e-02,4.762358046242642362e-01,5.040833182947651592e-01,6.670638585337124171e-02,6.706025124245684754e-02,1.562115160738706543e-01,-4.245178639600873105e-02,9.558338076266362782e-01,9.658508821855434912e-01,9.471826977803073921e-01,9.447922595332953755e-01,1.000000000000000000e+01
3.398776604658957368e-01,8.009164969450102145e-01,3.278545415747056990e-02,3.710405566455350912e-01,4.656298195584702149e-01,6.145023698589714700e-02,7.457721308520878778e-02,6.195805033759531621e-01,1.801846074635335415e-01,9.887700007396267310e-01,9.918024703532950515e-01,9.860457089322255397e-01,9.863908680752446756e-01,1.000000000000000000e+01
2.958092327840227131e-01,7.912087912087911734e-01,2.904771090534979255e-02,3.909787489982157749e-01,5.088724225414872349e-01,7.752430639748630892e-02,6.825959570032430479e-02,2.742385616266801440e-01,8.396430406514497624e-02,9.487179487179486781e-01,9.679026009961261279e-01,9.393100903892270814e-01,9.409703006825308469e-01,1.000000000000000000e+01
3.110193229834306572e-01,7.736486486486486847e-01,3.123033504319139633e-02,3.035677406361720343e-01,5.659937198530090585e-01,6.803391240515634097e-02,6.547291108912295376e-02,8.096505421075906872e-01,-2.896558776129498636e-01,9.494733628453670971e-01,9.766447870554113564e-01,9.479468783391848952e-01,9.433674248206380675e-01,1.000000000000000000e+01
2.927608543417367093e-01,8.009868421052631637e-01,2.820351732309028456e-02,3.339031157387457593e-01,4.968542881347485785e-01,6.249313817171485430e-02,7.220463246930958201e-02,6.908774341842167654e-01,-1.588414839917463850e-01,9.578412318732246744e-01,9.689041710270593910e-01,9.409478247869637046e-01,9.490207803857079183e-01,1.000000000000000000e+01
